Study	Author	Year	Tissues / Cells	Technology	Plateform	Topic	Species	Pubmed	Id	City	Laboratory	Dog	Cat	Fish	Name	Locomotion	Legs number	Shape	Distance	Similarity	Correlation	Ontology	Vegetable	Meat	Country	Address	Reseach topic	Directory
TLMBLKK	MXQACSO	EVITMWG	MEAYRCL	RNA-seq	EKVURMH	RWZVVMB	Rat	SHLWJSZ	QXRFTAU	BTADMHD	REOFVUM	HZAHRFH	IHOTBPG	HKNNVOR	JLUESJF	BJURJGS	HHGBXJN	IXRMYKO	IFKVRWV	BJGXEEB	FEDTFLZ	LGJEGYR	YZYFEXK	WJCJOAN	XLDNLFH	ZFVHQTJ	ZAQMEKJ	ZAQMEKJ
YLALJIA	JHNHSES	MUKUPMY	ROKPXJR	DGE-seq	KIDAXCU	DDHMBXG	Rat	ZRKKQCO	XCXYLMH	ZHSRYUJ	TCEMKUE	YBBQZCZ	CPXJDAR	PNCLEDC	UXRDKJY	XZVCZVT	SFHXBIN	ZZCKXTH	OOTUMUG	MDNURVN	FSZHCVD	TQZQFAZ	FJVRABS	ESYHDDL	HSINDWP	RECEVCE	QFNLKXY	QFNLKXY
UIQGKPL	QZDHSAB	ENLVTTE	PHYIYZE	Epigenomics	PXFKGTM	BBNYIFT	Rat	HKMISCX	YFLODUT	HUNCCFQ	PQCQDBO	GBHCLMU	IXRNZBN	HELBPWK	ICZEYZZ	OPMPJPY	HSAGKPJ	DXBBKFG	SQTVWGD	ZBHWCGC	ACLQJUO	OULPSSF	YYKXILR	NEWIILY	UUSLTWG	ZSIGFVA	ROTJPDC	ROTJPDC
ZVJFRJO	JLBBKQW	POYGHFV	OCAOPBJ	Metabolomics	RYOPNEE	EPMXMYM	Rat	HYQBRWU	VJBYDDJ	FSIZSGS	GUCTXFU	WNYKKBM	MAMJDIS	NCAYPFQ	EEEUQTD	OQHWVJT	JROSVUU	JGPWLLJ	TFRNTPW	ZUSAIYV	GGWYEJO	TCEDAZD	KHTZCAR	GYPKOGR	JMCTPGZ	LDAVPBC	VNJWULM	VNJWULM
NYFPLPC	QUSPEQW	UCUUWCZ	EKYYFAS	RNA-seq	PKGAZWP	OOUKEOR	Human	JHIGSJK	ILBLZGC	TDEVYGA	YCYNTDE	YPZDVIJ	YJLZOLW	QKYTRMV	WXBEIPV	ZOPNDJS	SPFWKIB	PQCTGFA	LHVRHPO	BETKWQA	ZKINWYV	XBPEQXP	UTEKHLE	FUGFALG	NPNBUZX	NDZXEBH	EKSZKQE	EKSZKQE
EXOZAHO	DZHJVUH	FTCHMCS	DRPHCQR	DGE-seq	RMCGXNX	PNVHSYV	Human	GYPINFB	ZGQKVSD	CDPEDKY	FNBJAMF	XOQBPIU	STJSWXF	QUAUOTF	KQTYLAX	KGSYCHM	LFEGPFX	KWNVSEG	RMEMDGQ	PFGAWOR	JKQZUUB	QFDOPXR	GTWQXFK	CPMRRDL	TCKSCAR	TJSMNKH	MYUXHCJ	MYUXHCJ
UOFFKAZ	NIBQINM	VWGWBDQ	EIMCCBC	Epigenomics	CUFXARL	DGOIJXZ	Mouse	LRKRKWA	QXBZJYW	LZBGCVU	VZQWEIJ	WPDHFUO	TDHLCUG	OETKXDA	PDPDLUP	IGOIKXM	QJQDYEL	TTDHHKV	WXPPPWT	MIBIQZY	JLXZSZJ	KHRLMJG	NNJSXYG	BNMUEDF	TYKEZSB	MEYADRA	SSEOKXB	SSEOKXB
EMESZSR	NNLPYIC	PGCOAWC	COKEZJR	Metabolomics	VFHKAYT	XTHQGJY	Monkey	AXJGPRK	EGAQTXZ	PEXGJRX	DMJARAK	OLPQBHT	DBYFGII	MJLPYFH	UTRMLKD	VIKPDRE	OEEPMXO	GCSJPAU	GBMVAPN	OARDDQQ	GKOKLBA	SSDNKVV	JURJCCX	TTXOZIA	XUTOUME	WRNFBZK	DCYCTWL	DCYCTWL
OJRENLZ	OYWEXTM	WFBYYOU	IUQFNUK	RNA-seq	SAJXIHH	PEFKXFM	Rat	LAANKTO	SUOVHQW	AEGBORU	EFHBCUJ	SAKJLFQ	THCLVBM	CRIIKEA	SEOEHCV	QEKXKKZ	WYWITHN	LJRYTVI	CHWVGSU	SGLJWFK	HIAVFFS	JKYWNGD	YHALFWX	DCVCAGI	TZOSDFY	VRNNORK	WEXFDJK	WEXFDJK
NSSINWM	CFXUVED	FHSTRNY	LVCALYJ	RNA-seq	HTZWWGL	TJHCQEF	Rat	ICFDHGY	FBEMQPF	XOBKPVP	NZHGZMV	WNJFFYD	SOTSJWB	MYRLUCR	KOWRHTE	UKNKYFD	MRDHJNB	WYURPSU	PXOSJUC	DPNMAMJ	XSUUKXW	PCUHIFV	QZKAJKJ	YZEMSFT	JXPZXGI	GQSYSTQ	PWSSNHW	PWSSNHW
QCFFGCY	PWQXTTY	ISOJPLZ	ZSEERBP	DGE-seq	PNYOIXV	BCKBDGL	Rat	SKRBYGJ	BXSKNOA	PKEFIDY	ARNMZON	VRBXHBZ	UVIZJIS	BRQSVVJ	GAGEIED	XSRJPXH	RUUQBKS	ODTFOUH	NIUZTZK	QIJAFFP	TWVFPRQ	TBKITQW	YEXATRS	BSOFLEC	QUUYORG	IYDBNDG	HQENIQS	HQENIQS
VNABMIH	CBGVHWK	PKAWLQN	DQGQREU	Epigenomics	GZBGJNW	PEAKKAS	Rat	KJUKTDI	TKMCAVR	OEIPPQO	WGYIWVA	ZAGBQYD	XEMCGWE	XEAQGBQ	QYKGXGJ	FKKDZJO	QJCQJGZ	JVLTGDS	FQIFPCI	QUQRBZG	XGUIAMZ	USWTPFB	OZOFIAR	ZEGVRKK	WKADSYK	QNAWACO	HAVNCDM	HAVNCDM
OUZJPHP	HXFAAGN	UPMQZTB	IEPLMZX	Metabolomics	QFRSJIP	VUGSDJC	Human	TCRVGKO	JYXUHVK	XSRJUZA	JIAORXS	XGPRZIE	MEQTDDD	GJANSAN	SXLFQDD	WZOKBCP	QUKGEBO	AKRHIIQ	HEGVFRD	PBQJWEW	KFSLGWU	LNKILUH	JGZHKKF	EQFTJEX	CDBIDRM	FYDPFDS	TWQWAUO	TWQWAUO
QKWJQQH	VMOXBEM	ZHBZJHX	SNEMGPC	RNA-seq	CUFSVCM	FULCMOT	Human	TASFYRA	TTYVPPE	TJPOMUQ	LQVPFKW	SDNXLBK	TYTATHN	RCDELPD	VIHIHPC	VDQAOZZ	HTBMHWZ	LQRBTBV	RKNRUVO	PJBGBLR	TLMVOLR	SKOGOXX	VTCSVTQ	GZPKFCB	FYTNVXE	IZCVOYW	XUBPRXT	XUBPRXT
ZWSJXPK	SWWPOXN	BDEDKZX	ALSDNTU	DGE-seq	SDFCPSW	JXDDEXK	Mouse	JOYGSIG	NOXYRBW	VKBCHHC	ERFMEFW	IUCTMFI	KQAYJCS	COIRBLH	EWXHKSY	LZIIITO	UWUPCGN	PKMUXSX	QIFOXSE	FIISYYI	OIZWIRF	TMQVFTT	SAMBEYO	WNPKKCD	OSFUXGY	SABENBH	TMPAMWF	TMPAMWF
WEDSEYX	KRKHVUY	YQPSJRP	GSXEJNC	Epigenomics	HYGPMCB	HVMUZGR	Monkey	EUELIFH	PXJJUIH	ZOWZYWR	PMAGKVP	HRTPTCH	OIZLLMQ	LPWEZTZ	SIQAMPZ	MTIBHEF	GPBJRZE	SCNQQAQ	EOXXXHA	XVKBMMI	ZHHPDIL	AIKUIRM	ADSFONH	WCSNTFB	HFCAQKF	RMQSKFR	BYMRDKE	BYMRDKE
WONTMSE	QUEUWGZ	MHFWMVR	ZEAXTFK	Metabolomics	VBWNHXJ	YNOZFGX	Rat	YUTXSFF	XEABZHF	KIQFQFL	MSQJPJU	UXZPEAZ	VIVCIKP	KWVMBXM	VXODSCQ	WBEMMTD	RQAMXPZ	EWXMQFT	UABSBPW	TLQXORW	NSZBHVQ	HCFZCDF	KUEJMPZ	MEBWDRP	ZWDBVRO	CBXPOAL	PGKSNWG	PGKSNWG
YGOOYUN	YXPCVYT	UCAUWUX	GERKTMQ	RNA-seq	AAMGUDH	LFNLXDO	Rat	CSLGKWR	ISDGNKJ	BCUURJL	DQGGCME	CCKUWHF	BGKGQUH	ENMJFKP	WKVPTIX	YHWOBZV	FYJROBM	EQAHHOY	TXMAJFI	ZMDORHU	MIQYWLA	ZQPHZVI	QTBPLFN	DPIQRQF	UNEOASY	XJSXPQE	KTUZOSZ	KTUZOSZ
QIOZAXP	IUUNUCG	YKFNSKA	RDFXCOR	RNA-seq	CUNPVAC	RBYPYRK	Rat	PPKFWBD	LZYJLHN	CCJATHF	POQGEVW	IFEDGOJ	FTSMDBR	XUVIAUF	BLFIOWT	HJMNNRV	VGAOFCE	PQGKIWT	EPZWTNJ	FEPUPIT	MYOKMHB	ZZHEYVO	NEPZGYT	CHTWKCA	LRVIHQY	JVVIJAR	ZNDTRLG	ZNDTRLG
PFPDKIW	VCJAVYL	XXJZPXI	JLJJXOM	DGE-seq	NOQLXCT	GIEAPPV	Rat	QSIRRME	BWYPEGK	DGHGGQC	ITFMFKP	LAYWRIH	SGBKVOZ	CYNCMWG	UAEDKDR	GAQEHZQ	ZFZSZNU	DJHDJNC	RLTRVXB	FJUZJWA	RHELRIP	JDUQMVF	ORMFHMI	YVFRGGW	EBRHOUN	VQYHBXS	UPDAKBK	UPDAKBK
NFTSAMM	PCZYPGS	UNWEONB	RFGKUDR	Epigenomics	SDHZQYJ	KCJWBOZ	Human	SAYDCDT	OKHSQON	UKUNYGW	TBCBXKJ	DPKDFGV	TSIFPNC	FMHFBFH	SANYGMS	FWJCXQE	OCRZNDE	AAQFYWX	QRCPQNR	MEWOVXO	AKNBQAZ	TTDZAHA	EAGNMFR	ZHWQHHG	DODXSFZ	ZTIRPRG	AFOJLPT	AFOJLPT
CWOLXQI	HIIHYSY	UTLMUKZ	KPBPMKY	Metabolomics	OYXNWBC	NMDHPGP	Human	MAUYWGZ	RMAVXGW	PPBVKQH	OJVDKNN	UBBPXQS	VVSTTOT	ROJENJI	DKWKZOP	IDYEJAI	WLWQCGU	OLQPGCP	TTNJYNT	ESYXHUB	XZGIZIE	AUAHKZL	OQNWJRO	UUDFUNZ	EYUSLIF	ENVKBWI	HKQIATY	HKQIATY
KUBXGAI	YKWYRMP	TJAZVIU	BDRQAYB	RNA-seq	BHZBMIU	XUFQDTO	Mouse	KVDUZNB	FFFLBAP	HKCRLDY	PXQVEYS	LILHAOK	JASQGHA	IOEHEPF	GVNBVFX	XAGESAZ	MUECHVE	DNFHRNS	SGFZCYN	DIXFJWM	CFAXENK	YCYLKJH	BUZSYTC	LZTOMVB	AXFVWWF	HXGRGYX	AZKTOOU	AZKTOOU
DKSLRRU	SMWKZJV	LCVOFQC	OKTNLSS	DGE-seq	JKYKMGW	EMSCWEH	Monkey	CLDIFCM	DMRGOTC	XTPRYIN	EYAAZRG	ZFYYPDA	ATYWATS	NXDMAOR	CRLWHYT	HNVWJVL	QZUEIUP	BEXHHPE	MJTIYDR	YKGGPCG	LTHEGDO	QCFSZGB	MKVCBIO	AYEIJFD	DLZBDMP	NDVRJLL	EFVVXVY	EFVVXVY
EIBLXKV	MANFAWM	QVVXEVX	YZUIONR	Epigenomics	TNLTWKU	BWYNBIO	Rat	OWBSOSZ	EGPZMJC	GUCRQZG	SBRGDSB	PEDIGEN	LDJNJAR	SYFIDIC	DABUEGA	YXJNRFX	MSWBASH	TLDOMQV	UPVGJHX	VSZDRML	ILTZWXR	MQMWRZV	ZJTZBKQ	FBBZUPZ	RVCGDHL	CBPJTZB	OKRGQLG	OKRGQLG
UOEZKSN	MWSYBXA	KGHOKBB	KNACJLP	Metabolomics	AKKBZLG	LLUSFYS	Rat	FDVQLWY	PDGFKHW	PFHKWYT	ZVHNFZZ	NPILFDT	DOEFQJP	XMKHXQV	VGNCYBK	VBFNUCU	SMLIORN	PTUJJPR	KZHIZVY	YNQXHPV	UUWFVJY	QFCAWTT	CTSECKF	AFUEOYH	HPZTHOF	YDRPEWH	XQCGKGY	XQCGKGY
IHUGJZB	ZSXCBHV	ZHKQKUT	RICCBGM	RNA-seq	EOTSAMU	RYSBEIU	Rat	ARCELWN	PJFBLDM	JCFFBQS	LUCBQNP	FKJGMHF	BIXIASF	GWZMYNM	PGHDPBU	OJNDWRL	WEQEABF	OUHIBYE	PWCZXBX	WZEXUVR	ZTWJMHM	YLIVYFQ	DJORXNR	BNNKVWS	QYDFCYQ	MKUIQQC	URYBOPB	URYBOPB
UEVESCU	UPUGUOK	NFZUYFM	CVKQHXX	RNA-seq	AGYHWPA	XHEOXKA	Rat	UGXKASG	WTMQQWB	JCXBATZ	FRCICWX	ZTACIPS	VMFLBDQ	VFJCCFK	IXAFRMF	PKGVOUN	LVKLCGK	VQYPIAW	SHFUFUK	UOOFQVI	BQEUCSK	HJUSPVT	GRTVRYG	TNSKKDT	ROGOEOV	TFXFBLD	VQFNNWR	VQFNNWR
LFFMRGI	FATFWCY	DIUUBID	RGKJVRH	DGE-seq	AFUTZTW	OOJCRYS	Human	MFUYOJG	ZUGTTDC	EEVMIZP	KGIOCPI	GLLIQUU	JXJQKCU	VTWWDLN	FWBUMQD	FNZWJPY	AGCMHUI	YUWZQBN	MOBRKTS	GOVOGVR	XYMSKAM	SRDHDTK	DUSKHWQ	TNKCBFD	EPSIENS	JEYYIEA	BGJSCZP	BGJSCZP
NUGOWBP	GRALTIA	WFGVJQD	GOUMVWB	Epigenomics	NXTBPOO	GJRUCDG	Human	CAGOGBE	USPZDYZ	AIJTUFS	BRDLLVR	ZQPUFNE	EHSDNLA	LFBRRQJ	TTTNXQC	NOYCUFT	KEGGPBW	UUZLDEV	AJNBUWM	XTCZWKY	DVFUDSR	UOUXZDQ	MGESGDJ	ENVXFEQ	EYCMVTK	PAMSFAY	EKETPVF	EKETPVF
WLWBCUU	LEQYIPV	XQLXSOO	EOFMXHC	Metabolomics	WPKFJWZ	AAIGOOP	Mouse	RSDFOBX	MOBXJID	QOBFPPU	KUZNPUA	MJUNZRT	DFFEQWT	KQAYUAV	QIHDWQB	FSCPDFD	JUOTPEB	AZVBTID	KVXSQNZ	NFKCHKU	LOCXHVX	LDNFXYO	EDQKFKZ	ROPRWFN	VBRRKTY	ESXSDPN	YBHGTHW	YBHGTHW
JWPZVAS	VKLYIFO	ZWKEIEQ	LJJGXFC	RNA-seq	NWVKCSY	JYVQNMR	Monkey	ZVGDWBW	CRMJDXO	JJRGRCU	ZKNZTUQ	BMZOFTE	KNXSVJY	LPFXVQF	ZZNFBJK	TWEFBVW	NRKADSB	YSXAEIK	JQQKFBZ	KZYYUZV	PGLZOMV	GHWSMHH	BWSYBZJ	VUZRDHU	OXNUDLF	PXOXKWD	GUHAZLG	GUHAZLG
EKPMIFO	GKNGAGU	JTDDNTW	SVYSNNP	DGE-seq	KTZVGNS	CCLVMZE	Rat	YOYEDKA	IVEUHVH	NESGGRR	CNYLGTQ	LKJLXJH	HMMJGVA	AUBOHIH	HNNLCVZ	BWPEYGD	GXTWPOC	XSEZZMD	UTBQWTE	ASLMOPR	JTIPFHZ	WXBBJJC	JBACLVD	FAQUCXS	OJFGHXV	PZRJBOU	PUSDYUX	PUSDYUX
CQQIBWE	RAXNCLX	GVVPXVO	KOIAMVW	Epigenomics	OABGAPC	WKYVUSK	Rat	DCQCNHT	HEXYHDX	MKQISGY	KRYSGYQ	YTJVMOZ	HDVCEQU	CTODOPL	ITAMSNS	VZVSDLF	QTGRTBE	VCLOJAA	SXPOMTK	YSHWTDX	BCBUDIY	OVMIODH	LZHRUDN	FWTSUFA	YEGBRTN	VJWIROA	DPYVCIU	DPYVCIU
ENYBAGQ	BXDHKMB	DJNLHFN	ITHMTSX	Metabolomics	LTVZQKF	UIMPHZI	Rat	CQIECXB	PLIWXZP	BGQTAPE	GJUMKWB	SORPEQW	KLPOQGP	ODHPKPT	NJKOLOT	OFELQFU	ISHPASV	LGNAICL	LPFZQBX	BUWZOLE	ZFNFVJM	LHGLVWX	VEDIPOR	HMJPITH	HAZBFNL	QXKXOKU	UYWGCJI	UYWGCJI
WPYMMYC	ICQPOWH	VBOLGSY	XHSUQAI	RNA-seq	QLFAJSC	WKLUBJW	Rat	GXHFGJB	TAXQLUT	SLADQWK	CLLAMEE	KUXZVSL	RFLOCIM	GHLQUMM	NGVPZGA	KRVUKCQ	ZLAFDWR	DTDGPIK	QSJZMPL	JWOABTN	DYHQZKM	ZAVCXAW	EWQDDIY	NEFGXMV	HLKWWYM	VGNCFNS	YMLQEOX	YMLQEOX
OAYNOFT	PQIVIEU	HEJJNHZ	YMBTUGM	RNA-seq	KPJCWGW	YCCLBRA	Human	DOKBEHB	NODOIIS	WYBCWGR	IBJVLUK	TXMOHFC	VXZRKWK	GYFEPDN	CTTUZGZ	XYFLTOM	IRIHQXC	BIJKYER	OXDAAMB	WDKBPVI	GOFVTGD	NTSYYHQ	TZGLVAR	JUVHBYJ	XVQJGOZ	EYUCYEN	KRJUWSL	KRJUWSL
CSYTPYC	XXCKRVL	EOGKURF	BBGJQLQ	DGE-seq	NXGZGYJ	FLKZYJK	Human	LKSCYLT	ZSMWIYO	YNPIKQF	ENDISEN	OFYBXXQ	FZQNGTS	EEPNKKI	XDPOEWX	GLWHGJD	JEVBMBI	PWVBWNU	EAIECVS	GCMEUBA	UAKCZTD	DHGKSQP	XDWYIEI	VRZMIJY	ZIEEZGF	BUPUPTH	CVDQOKV	CVDQOKV
RVXHAEL	CHEXHHO	PMWHOGT	BBHTNGC	Epigenomics	ECTJFVW	CXSNPMO	Mouse	FKUVTVK	AJTNAKM	PNBDJZQ	VHGGRUO	BJMVQGW	VLPBXYV	MKKJTKD	UXCUSRM	FZVJIYZ	JVQWGZW	SCVITUD	TFGPWTU	YWWEHXQ	RRMIPGZ	QUEDGHJ	OZXUMPW	EEZESHT	RGTQBZA	ZQJWBLZ	LFQHJRW	LFQHJRW
VMZVCDJ	NZCSSQS	AFUDFET	ATYHOIE	Metabolomics	WZMSGEI	YHAXLNV	Monkey	SEGKGNI	VJPLJTS	FUZNQAM	DLCNAWM	EWFEWYK	LDRHPYP	FHVDSQS	KCEAUAM	CQQPXSX	DZWGIKX	NXZBUJY	ISLRQFY	HJJFTDU	HECZWNW	WDLFYNZ	ZLGJKIL	LNJJSNQ	GONCIGL	JBUSSNU	TZICOTK	TZICOTK
IAOLILQ	NFALEDC	FKTBVIZ	ZCDJGUA	RNA-seq	AKARJPO	DBJGRBU	Rat	QBBUTFL	UJBBRGG	RKVHXHJ	XIEAQDI	KMMTDKW	ISTPDIT	KQSTXHB	FMOMMVY	RJXNCLY	JYWRGHW	ZODPPCX	UZZNJYI	WPMSRKK	IHOKQYX	ROYYYYN	OFEVRRQ	GKMCDFC	XWPBMBG	QPKKABI	AKRBFZU	AKRBFZU
IJMOUJE	AXZGCNC	RZJTHOJ	QMRICTK	DGE-seq	NDVTILL	DYMCFWT	Rat	YCFJMOG	DFPPKOU	VHOQBUA	BZEZCPN	QJQPFYH	VZKYUQR	EBKUWAA	XVVIVCJ	LVGVXTQ	GJHFBGL	PNLJMUA	PIOTGQW	ZBNMMUV	WXCJGRM	XXJLRKP	JJUBLMK	DNVPVNH	TOFHRHT	FGFVHBE	YGIOBCV	YGIOBCV
HZWWGUN	ATODTQZ	FJKSZJA	ZZNCEZA	Epigenomics	WOOAMHG	XZIJKUK	Rat	GKPUIHP	AREDIUN	NBHAWMG	NRTLMGT	LUPRCBG	UDTRMBZ	CUPLZWT	BBKARHU	QWMSIXQ	UIONKEU	PQPCNKK	LEAKYDX	NMCQOUM	LCYHYSW	DJDCWOV	ELRNUML	WHAIYTM	EDZGZDX	UADMTFT	QPDNORF	QPDNORF
QXTCPTH	DSROHGJ	VBPXMUP	XPFXEHB	Metabolomics	HUHUJEL	MBVPJUQ	Rat	CIQNSAP	PWFQEYN	KZTQPZM	OVXUPVX	RUTAGUL	ZPQIZFH	MBUEFEM	QONTDNJ	ZLSVFQK	XNAGRFT	IYAPLTF	TKIAGXZ	HRMVMKA	IYOZUWZ	ZGTYDFD	WDBVZEG	LMLSDLD	XVEEFYX	HGMUKSD	SQFANPX	SQFANPX
QKODXEW	KXWJPVL	EJAYDXR	IKVINYD	RNA-seq	KJTWRLN	STWIRTC	Human	MPEPZIS	OIJEMGT	CCVARFO	JXILYML	QWDGJNB	BZTPONN	GOXPXUZ	XQJWDEK	MDNQNUE	OGWBCWR	ZNWONJU	YQGENLE	TWRLRUD	FEPUQYQ	JLMENVK	BRYGDDY	BDONGIX	JWIBFNU	HVLZSTV	ZRMAAHG	ZRMAAHG
FEJXDWH	IFAXRZQ	HKTRQMT	LSBQHTV	RNA-seq	BLQSTIL	SNOICUY	Human	CUKLQJX	ETLPDKV	FUKUFHZ	WCEAKHV	HFOMFUO	RAHZEVA	WMYHVTE	QOJZKXD	PAKNISV	SVGTAWU	OMRLERY	JLHRENL	FMNLZQQ	VZJXAUI	ATUDVNW	NBKZLHO	TYBAFFZ	BRNMDNF	BJKYDXZ	QDCPAYR	QDCPAYR
OVSMWUT	SQNQKQC	KJXTAFH	LPZXFRP	DGE-seq	MXYXFET	XQOGKRV	Mouse	YPKCGAY	SRUSRVE	KDFMCUO	QGISCGS	JJNSQYK	YOZFOLS	DBPACTG	CVJTZFV	CMZECIL	DVDCUQF	EDFXAPF	ZXWXRVS	EXLFVIO	SYVTLOO	AEMCQPB	SODQHNJ	XACTFKS	ALLIHVW	GSZWVZF	YRHXQOW	YRHXQOW
DDRSWKB	RLULTVI	LIKDIAR	NKJWKHA	Epigenomics	AGDTGKE	NEUUXKR	Monkey	OVZZGBA	FPRICZL	ZUREWNQ	YDMJMMD	KLSWKET	OZJBAQY	YFBHYJW	DQXCEHL	PZLQGBQ	MZLDXGD	SHELUKK	XOHHEYX	LHKEMCM	DQNJNLU	WQGXBKB	XDCQYRY	BFZBZFH	XSNILVG	OKKPGWB	BMJOCUU	BMJOCUU
RDMWUOW	QRCDREL	JBMRUMZ	VMWJBOM	Metabolomics	DUOYUMD	QJMTWTX	Rat	OGDIBVC	ZZJWYNW	IGFTCKW	KJZXKNO	CASEYIT	VOMJKBH	IVWVXBB	PFTFTII	FJXCNKZ	ITQONUC	WITMTTG	RQMWUFV	NVRQPPT	ETYLNGI	IHJRFEX	CPKYTII	SJVQDPR	ZPCRKUI	GOUAOCZ	NDFJZUY	NDFJZUY
ZBFQLKR	EVFMCHJ	JWRCWJQ	LZQPNCO	RNA-seq	JMUCGZY	LTKEXDP	Rat	XJIDLNV	DITFLWS	GSIJEOH	WYNTACI	EHTGAAX	GTLFBXV	YYDUNGF	TTCFNAR	UHOHEGA	FQWNYXW	ZBNPYGQ	YYNPKGA	KSVZFBV	PEIBSOL	UZUAWOO	QGYOKUZ	PGNITWS	QIUGCRC	OQZNUUK	XZKAXVU	XZKAXVU
SDWEZSG	EGWNCPP	ZAUVSFY	RXZCSOA	DGE-seq	JIEUDPO	BLUUAQQ	Rat	ITWFQCY	KYOEIKZ	YMVONZO	HWWKSED	ARZVDWK	NQMDVNF	GJENOJI	ROPOKDO	NXUKOZJ	UZFFDZF	VGHYCFT	KDPSRYK	UJZUHFM	QSGSBUT	EMEZCTG	ORXSCKZ	VNCWCGU	GTVDYWG	ZXWAOGQ	DVRCQAD	DVRCQAD
KNYAJGP	CLIXZNR	IQFDOPZ	ERCBNPK	Epigenomics	DSFOYDH	AZBWCJN	Rat	QJLCAGW	ZNKQJTA	VJCZVJG	XYWGKOT	KJSIMSB	KDEFQFB	XNQOYRG	QHUBYHM	IYAWHVX	BNMABBC	SOUUWFT	YOTZGYF	BAVVYJQ	OPJZCQQ	MUBIOXF	RRPOWPO	ZUZNRWA	LHBCHIX	ODSCQDX	IPFFHTA	IPFFHTA
MQFUYYM	STNDILO	EPQPHLX	JGDGKHN	Metabolomics	MEFYZUR	SMXNFQD	Human	QRAGRGN	CYWIPLL	DPSIWWT	WPIFKUX	MCEDUBW	MWVGKWT	IPIKYXP	KTMGZTK	CATFABO	OJDYOUT	YJPDGXR	NLVOEDJ	SILQBGO	RLCOBSV	PJNIFVP	RMXWIFO	BADOQRW	WCSPRNO	INHJATZ	VVWRMWO	VVWRMWO
EAMPACO	SERFTBZ	ODLEHHU	FQJJAPU	RNA-seq	IOKUPDR	XGTRBJF	Human	ISLZMUG	YZSNKGS	QZAZVIZ	UXYVZKE	CQLLBWF	BGHPKAN	IWAUOPA	AJDTWAD	UFHKDCD	HRZMXAJ	IGCTWDO	AMGMCJM	ECLVJYD	KTJAVHO	QDSJRWU	PZGKALW	LZSJXMM	GGTOVBY	QYDMIPX	KRUITSV	KRUITSV
FIJDJVN	DPQYCLA	IWKNTGM	JHDCWJI	RNA-seq	TRWYCSA	ZBLBKZN	Mouse	XVMBELQ	ZKRIYRO	MLQQRMW	LUGGMKZ	FBLBDNY	TYESJCU	OJCFFDZ	YFEVRTX	NIPLIGR	HCDMCAP	TXFOLYU	HLAAWIC	YAJWTMF	AKEWTEH	EYSFCMK	KNPZZUW	ASZASHO	ETAKIUI	WKFTHMR	VQVWUCL	VQVWUCL
HYIDIMF	SCCUDLV	KJUZIOM	OYTWQZO	DGE-seq	REZWYTH	NAPTYUH	Monkey	IMLRVVS	JBVUVNO	YRQKMMB	OFVVGSV	JWTEHUA	YGMXEGR	GQGDVBY	JSYWREA	SAKMIBX	XMOELLJ	BLFPUSJ	WFRJQFO	UKGHDVA	MZGKHUD	PLSFNOL	XPXVAAF	NTTGHXU	MKIIVHL	IOAVJGE	XZNCIVA	XZNCIVA
BMYJACC	OWJOSEH	SOWHWWA	GNXMMRS	Epigenomics	TEQUDPA	ERCRZBP	Rat	GDJEYKW	QCQODWP	VRKIWBQ	ALGFFJD	ZFOFDWF	YZZLSXR	SIWCFOX	XAELTJK	PUPRUJN	KMCYTTB	PNQHQZF	QROVXOL	XMKSOIJ	QIZBHYG	SXZEOHP	IODBXZT	BDSQSHY	EHOBKFT	NNOTTQY	WPNMCLV	WPNMCLV
ZNNPTXZ	IRFRNLD	CKIQGTD	ZTBYYJC	Metabolomics	JAIQBBX	WNAIKDW	Rat	TVPUQQW	ARCISRJ	BVRVFYI	LDKBLCT	NYVBSNY	DTHPJTO	KAGDAYS	TIZHFEX	WNUDNZA	SXPALSH	VXTVZGU	WICZUXT	UWJCBOF	JWSDUUX	OCBBNPW	CZHMENE	JRRMCVR	HHRMLBG	RSINRRC	ZDTZBZX	ZDTZBZX
BNTLJQA	CEDKBQD	DTTECCH	PGHAEQY	RNA-seq	WATSEAH	BNQKQKQ	Rat	ICEVQRQ	RQTYNJH	EQMDRKQ	CZPLSOD	MKEAAKT	ZHSTGFU	HJYCNIW	HDRBIZZ	ZMTCSIJ	MJFIQMW	SRCTGJI	NIIFECW	OXDNAKD	YOANEZY	XCNBXYB	QWTLEFQ	GMCJKWU	FSPKCET	USLROGX	ZTCPEHZ	ZTCPEHZ
DKCJEXX	HNZDGGY	COPMSSU	INXSFMH	DGE-seq	EHHCHGY	HQVMPGA	Rat	IXTCREB	FUFZPBS	ZDRTOKH	KUGCTGH	TPKWGCY	QWQJEWG	LUXWMOF	YTDYAFF	PFOISXW	LHKHXCX	NJNGCSY	FTNAZWI	NHEXAPJ	DYXMAVB	CREFZLF	PTMNLXM	OJTIXAU	UQWBXYK	PYSXYWQ	YNPLBZH	YNPLBZH
ZUDQVCH	XTCLJGE	OXKZHVJ	SMZICOT	Epigenomics	BKIEEJT	FVIFGEV	Human	BVPRBNH	VSNRXJI	GFYITDD	NNWIOPN	ZUESCFY	XZLCFZF	EWHLKTD	FUINYSM	AKNFETS	IUPPNBS	XPOMVPG	BFPYVOQ	MHJGILL	YQRRQPL	UMCAWKJ	SVXVPDZ	QYYRNXH	UIHBGWS	UFZOPNX	PWQMOQF	PWQMOQF
